пореден номер,заглавие,автор,година,том/част,инвентарен номер
2865,Епопея на забравените,"Вазов,Ив.",,,11036
2866,Епопея на забравените,"Вазов,Ив.",,,11037
2867,Епопея на забравените,"Вазов,Ив.",,,11038
2868,Когато милионите...,"Вапцарова,Б.",,,11042
2869,Сборнис естрадни материали,,,,11043
2870,Животни в човешкото ...,"Тулешков,К.",,,11045
2871,Животни в човешкото ...,"Тулешков,К.",,,11047
2872,Животни в човешкото ...,"Тулешков,К.",,,11049
2873,Птици в нашия двор,"Дончев,Ст.",,,11050
2874,Птици в нашия двор,"Дончев,Ст.",,,11051
2875,Птици в нашия двор,"Дончев,Ст.",,,11052
2876,Птици в нашия двор,"Дончев,Ст.",,,11053
2877,Птици в  нашия двор,"Дончев,Ст.",,,11054
2878,Началото на  края,"Велков,П.",,,11055
2879,Теория на Айнщайн,"Факипов,Д.",,,11057
2880,Теория на Айнщайн,"Факипов,Д.",,,11058
2881,Дановски елеавтоматика,,,,11060
2882,Дружба велика затрогваща,,,,11062
2883,Пътешествие в миналото,"Майски,И.М.",,,11063
2884,Чисти очи,"Стъпов,П.",,,11064
2885,Пак е август,"Ивантер,Н.",1961,,11065
2886,Съчинения т.2,"Георгиев,М.",,т.2,11068
2887,Съчинения т.1,"Георгиев,М.",,т.1,11069
2888,Лисици  в лозето,"Фойхтвангер,Л.",,,11070
2889,Лисици  в лозето,"Фойхтвангер,Л.",,,11071
2890,Бълг.нар. Творчество т.2,,,т.2,11072
2891,Бълг.нар. Творчество т.3,,,т.3,11073
2892,Богомилството в България,"Антелов,Д.",,,11074
2893,Български писатели,"Константинов,Г.",,,11076
2894,Скривалище край ...,"Насибов,А.",,,11098
2895,Измамни пътеки,"Несторов,Б.",,,11099
2896,Стихотврения,"Ханчев,В.",,,11101
2897,Събрани произведения,"Тодоров,П.Ю.",,,11103
2898,Събрани произведения,"Тодоров,П.Ю.",,,11104
2899,Събрани произведения,"Тодоров,П.Ю.",,,11105
2900,Камен Зидаров,"Каракашев,Вл.",,,11107
2901,Литературна критика и,"Бончев,Н.",,,11109
2902,На родителите  за ...,"Аркин,Е.",,,11115
2903,По-бързо от мисълта,"Кобрински,Н.",,,11116
2904,В една тъмна нощ,"Марчевски,М.",,,11118
2905,В  бой за свобода,"Марчевски,М.",,,11121
2906,Партизански песни,"Андреев,В.",,,11124
2907,Партизански песни,"Андреев,В.",,,11125
2908,Партизански песни,"Андреев,В.",,,11126
2909,Атмосферни явления,"Панчев,СТ.",,,11132
2910,Атмосферни явления,"Панчев,СТ.",,,11133
2911,Атмосферни явления,"Панчев,СТ.",,,11134
2912,Атмосферни явления,"Панчев,СТ.",,,11135
2913,Виза за Арабия,"Фалк,А.",,,11136
2914,Нагледна граматика...,"Гълъбова,Ж.",,,11137
2915,Из североафриканските савани,"Манолова,Н.",1962,,11139
2916,Из североафриканските савани,"Манолова,Н.",1962,,11141
2917,Из североафриканските савани,"Манолова,Н.",1962,,11142
2918,Из североафриканските савани,"Манолова,Н.",1962,,11143
2919,Вит тече  и разказва,"Вълов,Ив.",,,11145
2920,Старицата и кравата,"Ананд,М.Р€",,,11147
2921,Партизански песни,"Андреев,В.",,,11148
2922,Фауна на България,"Пешев,И.",,,11149
2923,Работнически влак,"Германов,Андр.",,,11151
2924,Душата на майстора,Чертовенски,,,11152
2925,Забавна минералогия,"Ангелов,Б.",,,11153
2926,Забавна минералогия,"Ангелов,Б.",,,11154
2927,Забавна минералогия,"Ангелов,Б.",,,11155
2928,Забавна минералогия,"Ангелов,Б.",,,11156
2929,Николова,Йорданка,,,11158
2930,Турският феодален ред,"Цветкова,Б.",,,11159
2931,Турският феодален ред,"Цветкова,Б.",,,11160
2932,Турският феодален ред,"Цветкова,Б.",,,11161
2933,Турският феодален ред,"Цветкова,Б.",,,11162
2934,Снимки.Документи,"Ботев,Хр.",,,11163
2935,Морският вълк,"Лондон,Дж.",,,11164
2936,Повест за Атлантида,"Томин,Ю.",,,11165
2937,Съдбата на човека,"Шолохов,М.",,,11167
2938,Евгений Онегин,"Пушкин,А.С.",,,11169
2939,Евгений Онегин,"Пушкин,А.С.",,,11170
2940,Евгений Онегин,"Пушкин,А.С.",,,11171
2941,В навечерието,"Тургенав,И.С.",,,11174
2942,В навечерието,"Тургенав,И.С.",,,11176
2943,В навечерието,"Тургенав,И.С.",,,11177
2944,Бунтовният кораб,"Ровински,В.",,,11179
2945,Mъртви души,"Гогол,Н.В.",,,11180
2946,Mъртви души,"Гогол,Н.В.",,,11181
2947,Mъртви души,"Гогол,Н.В.",,,11182
2948,Щастие,"Василев,О.",,,11185
2949,Щастие,"Василев,О.",,,11186
2950,Щастие,"Василев,О.",,,11187
2951,Щастие,"Василев,О.",,,11188
2952,Влез във всеки дом,"Малцев,Е.",,,11193
2953,Лирика,"Ханчев,В.",,,11194
2954,Войнишкото въстание,"Христов,Хр.",,,11197
2955,Ранни въстания,"Мутафчиева,В.",,,11198
2956,Страници из ...,"Гюлеметов,Хр.",,,11199
2957,В бой с фашизма,,,,11200
2958,Девети сентември.Спомени,,,,11201
2959,Парижката комуна,"Михова,Д.",,,11202
2960,Строеж на атома,"Зеел,Ф.",,,11204
2961,И под леда реката тече,"Бирзе,М.",,,11207
2962,И под леда реката тече,"Бирзе,М.",,,11209
2963,Горделивци,"Гьорлих,Г.",,,11212
2964,Фабиан,"Кестнер,Е.",,,11216
2965,Йоните,"Дряновск-Нонинска,Л.",,,11220
2966,Иван Асен 2,"Ангелов,Д.",,,11222
2967,Иван Асен 2,"Ангелов,Д.",,,11223
2968,Горделивци,"Гьорлих,Г.",,,11224
2969,Тимур и неговата ...,"Гайдар,А.",,,11229
2970,Тимур и неговата ...,"Гайдар,А.",,,11231
2971,Писатели реалисти,"Константинов,Г.",,,11238
2972,Епопея на забравените,"Вазов,Ив.",,,11245
2973,Епопея на забравените,"Вазов,Ив.",,,11246
2974,Малая,"Петров,Ст.",,,11250
2975,Съчинения т.1,"Страшимиров,Ант.",,т.1,11255
2976,Съчинения т.2,"Страшимиров,Ант.",,т.2,11256
2977,Карлово,"Унджиев,Ив.",,,11257
2978,Щастие,"Василев,О.",,,11258
2979,Щастие,"Василев,О.",,,11259
2980,Щастие,"Василев,О.",,,11260
2981,Щастие,"Василев,О.",,,11261
2982,Партизански нощи,"Вихров,Ст.",,,11262
2983,Лирика,"Давидков,Ив.",,,11263
2984,Математически софизми,"Чобанов,Ив.",,,11264
2985,"България, земя","Панаьотов,Ф.",,,11265
2986,Строеж на атома,"Зеел,Ф.",,,11266
2987,Българската поезия през ...,"Марков,Д.",,,11267
2988,Партизански песни,"Андреев,В.",,,11275
2989,Мъже,"Марков,Г.",,,11278
2990,Път през годините,"Константинов,К.",,,11279
2991,Математически софизми,"Чобанов,Ив.",,,11280
2992,Лирика,"Юго,В-",,,11281
2993,Илиада,"Омир,",,,11283
2994,Илиада,"Омир,",,,11284
2995,Илиада,"Омир,",,,11285
2996,стихотворения,"Ланков,Н.Избрани",,,11287
2997,Кърджалийско време,"Мутафчиева,В.",,,11288
2998,Кърджалийско време,"Мутафчиева,В.",,,11289
2999,Живот без болести,"Славчев,С.",,,11290
3000,Живот без болести,"Славчев,С.",,,11291
3001,оръжие,Реактивно,,,11293
3002,"Смирненски,Хр.","Измирлиева,Н.",,,11294
3003,Дъщери и синове,"Ян.Чин,КунЧуе",,,11296
3004,Пътища и спирки,"Коен,А.",,,11297
3005,Студен душ,"Тодоров,А.",,,11299
3006,Непокорният послушник,"Даскалов,Ст.",,,11301
3007,Непокорният послушник,"Даскалов,Ст.",,,11302
3008,Българско-англ. разговорник,,,,11303
3009,Дивите  птици,"Цветков,В.",,,11304
3010,Червени карамфили,"Семпер,Н",,,11308
3011,Неразгаданите тайни,"Голубьов,Г.",,,11312
3012,Северна повест,"Паустовски,К.",,,11313
3013,Крум Григоров,"Димов,Г.",,,11314
3014,Крум Григоров,"Димов,Г.",,,11315
3015,Уравнениета на Максвел,"Днепров,А.",,,11316
3016,Уравнениета на Максвел,"Днепров,А.",,,11317
3017,Фрезоване,"Кувшински,В.",,,11318
3018,Из опита на преподаване...,,,,11319
3019,Теория на числата,"Обрешков,Н.",,,11320
3020,Виелици,"Шголихин,",,,11321
3021,Вселената,"Кръстев,К.",,,11323
3022,Вселената,"Кръстев,К.",,,11324
3023,Атмосфера,"Белянов,М.",,,11326
3024,Атмосфера,"Белянов,М.",,,11327
3025,Атмосфера,"Белянов,М.",,,11328
3026,Атмосфера,"Белянов,М.",,,11329
3027,Страници от моя ...,"Шаляпин,Ф.",,,11330
3028,От Козлодуй до  ...,"Ангелов,Ив.",,,11331
3029,От Козлодуй до  ...,"Ангелов,Ив.",,,11332
3030,От Козлодуй до  ...,"Ангелов,Ив.",,,11333
3031,Хилендарският монах,"Талев,Д.",,,11335
3032,Променливият ток  в курса ...,,,,11336
3033,Народ и писател,"Стоянов,Л.",,,11337
3034,Уравнениета на Максвел,"Днепров,А.",,,11338
3035,Народ и писател,"Стоянов,Л.",,,11339
3036,Писатели реалисти,"Константинов,Г.",,,11340
3037,Паисий Хилендарски,"Нешев,Г.",,,11343
3038,Паисий Хилендарски,"Нешев,Г.",,,11344
3039,Паисий Хилендарски,"Нешев,Г.",,,11345
3040,Паисий Хилендарски,"Нешев,Г.",,,11346
3041,Билярд в девет и половина,"Бьол,Х.",,,11349
3042,Краткий словар синонимов руского...,,,,11358
3043,Современ. Русский яз.,,,,11359
3044,Българско народно творчество,,,,11360
3045,Митко Палаузов,"Марчевски,М.",,,11364
3046,Главни от ада,Данкин,,,11367
3047,Везувий бучи,"Мок8крев,Ст.",,,11370
3048,Под аржентинско небе,"Цветков,Т.",,,11373
3049,Изучаване образите на лит. герои,,,,11375
3050,Решение,"Зегерс,А.",,,11376
3051,Браилският войвода,"Стоянова,Х.",,,11382
3052,Възрожденски писатели,"Динеков,П.",,,11382а
3053,Възрожденски писатели,"Динеков,П.",,,11383
3054,Възрожденски писатели,"Динеков,П.",,,11384
3055,Възрожденски писатели,"Динеков,П.",,,11385
3056,Има ги всякакви,"Бенадов,Х.",,,11389
3057,Звезди над Копривщица,"Рудников,Ив.",,,11391
3058,Слънчев  извор,"Славински,П.",,,11392
3059,Радиоастрономия,"Ковачев,Б.",,,11393
3060,Бълг. народни приказки,,,,11399
3061,Трявна,"Казасов,Д.",,,11394
3062,Електронно-лъчева  тръба,"Бойков,М.",,,11395
3063,Неугаснащата истина на историята,,,,11396
3064,народни приказки,Български,,,11397
3065,Мария против Пиралков,"Наковски,А.",,,11402
3066,Скитници из синия континент,"Йовков,Л.",,,11403
3067,Български народни приказки,,,,11405
3068,Тримата и...,"Бабаков,С.",,,11406
3069,Кипър,"Шаперас,К.",,,11407
3070,Лабораторните работи по физика,"Марков,Д.",,,11409
3071,Син на работническата класа,"Калчев,К.",,,11416
3072,Папеса Йоана,РоидесЕлм.,,,11421
3073,"Сава, Исполинът от Сиракуза",,,,11422
3074,"Сава, Исполинът от Сиракуза",,,,11423
3075,Герои и характери,"Карамфилов,Еф.",,,11424
3076,Антиамериканците,"Беси,А.",,,11426
3077,Не си само ти на света,"Агапов,Б.",,,11427
3078,Горещото село ...,"Фидлер,А.",,,11428
3079,Спомени на една майка,"Форналска,М.",,,11430
3080,Разкази,"Йовков,Й.",,,11431
3081,Наводнението,"Зола,Ем.",,,11433
3082,Наводнението,"Зола,Ем.",,,11434
3083,Наводнението,"Зола,Ем.",,,11436
3084,Рекорд сред пламъци,"Мандаджиев,А.",,,11438
3085, Юлаев,"Злобин,Ст.Салавей",,,11439
3086,Жанровото многообразие,"Богданов,Ив.",,,11444
3087,Късче небе за трима,"Игнатов,Р.",,,11448
3088,Между два свята,"Волен,Ил.",,,11449
3089,Солта на земята,"Марков,Г.",,,11450
3090,Клади край Босфора,"Богданов,Ив.",,,11454
3091,Физиката през вековете,"Врански,В.",,,11455
3092,Житейски и литературни...,"Николов,М.",,,11456
3093,Основни въпроси от ...,"Вагин,А.",,,11457
3094,Чест,"Медински,Г.",,,11459
3095,Осемте хляба,"Даскалов,Ст.",,,11460
3096,Спомени на една майка,"Форналска,М.",,,11462
3097,Обърнато небе,"Радичков,Й.",,,11464
3098,Икономическите възгледи на...,"Горов,К.",,,11465
3099,Сол и пипер,"Бурин,Ив.",,,11466
3100,Разказ за първата ...,"Никитин,С.",,,11474
3101,В онази есен,Несторов,,,11476
3102,Черно море,"Паустовски,К.",,,11481
3103,дьо Таткото на Симон,"Мопасан,Ги",,,11482
3104,Катастрофа,"Кръстев,Кр.",,,11486
3105,Муртаза,"Кемал,О.",,,11487
3106,Стихове,"Райнов,Б.",,,11489
3107,Живот в царството на ...,Бетлен.,,,11490
3108,За кого свети слънцето,"Драганов,Н.",,,11491
3109,Избрани стихотворения и ...,"Неволин,М.",,,11492
3110,Анелка,"Прус,Б.",,,11493
3111,Съвременен бълг. език,"Попов,К.",,,11497
3112,Най-добрият урок,"Бандеров,А.",,,11498
3113,Янош Бойай,"Мартинов,Н.",,,11499
3114,Янош Бойай,"Мартинов,Н.",,,11500
3115,До Чикаго и назад,"Константинов,Ал.",,,11504
3116,Ръководство за изучаване на ...,"Москов,М.",,,11508
3117,Томас Алва Едисон,"Михайлов,М.",,,11509
3118,Самоковската комуна,"Диловска,Ел.",,,11512
3119,Фредрик Дъглас,"Грейъм,М.",,,11516
3120,Големият огън,"Федин,К.",,,11520
3121,Решение,"Зегерс,А.",,,11523
3122,Човекът и земята,"Попов,В.",,,11524
3123,Лъчи струят от пепелищата,"Юнг,Р.",,,11527
3124,Старт към живота,"Мандаджиев,Ат.",,,11530
3125,Грозната херцогиня,"Фойфтвангер,Л.",,,11531
3126,Търся Китежград,"Абрамов,Ал.",,,11532
3127,Радиоактивни изотопи,"Петков,Ив.",,,11533
3128,Въздухът въ природата и техниката,"Иванов,Д.",,,11535
3129,Радиоактивни изотопи,"Петков,Ив.",,,11539
3130,Мюмюновите гълъби,"Ягодов,М.",,,11540
3131,Мюмюновите гълъби,"Ягодов,М.",,,11541
3132,Мюмюновите гълъби,"Ягодов,М.",,,11542
3133,Катализа,"Близнаков,Г.",,,11543
3134,Нечиста кръв,СтанковичБ.,,,11545
3135,Прекрасната свинарка,"Ларни,М.",,,11546
3136,Под флага на Катриона,"Борисов,Л.",,,11547
3137,Катализа,"Близнаков,Г.",,,11548
3138,Хр.Смирненски,"Георгиев,Л.",,,11549
3139,Иван Попов,Кирчева,,,11550
3140,Братята от Струга,"Талев,Д.",,,11551
3141,Братята от Струга,"Талев,Д.",,,11552
3142,Хр.Смирненски,"Георгиев,Л.",,,11553
3143,Желябов,"Трокофиев,В.",,,11555
3144,Жолио Кюри,"Шасколская,М.",,,11556
3145,Искровете,"Христофоров,Ас.",,,11557
3146,"Разкази , повести","Талев,Д.",,,11564
3147,През огън и куршуми,"Радомирски,С.",,,11565
3148,Томас Мюнцер,"Шекли,А.",,,11567
3149,Избрани произв. Т.1,"Минков,Св.",,Т.1,11573
3150,Избрани произв. Т.2,"Минков,Св.",,Т.2,11574
3151,Ний младата сме гвардия,,,,11575
3152,Челкаш,"Чавдаров,Д.",,,11576
3153,Огненото сърце на машините,"Кузов,К.",,,11577
3154,Вестители на живота,"Стефанова,Л.",,,11578
3155,Вълшебният кристал,"Вале,О.",,,11583
3156,Смъртта на подпоручика,"Северняк,С.",,,11586
3157,През огън и куршуми,"Радомирски,С.",,,11588
3158,Майка,"Горки,М.",,,11589
3159,Майка,"Горки,М.",,,11592
3160,Майка,"Горки,М.",,,11593
3161,Майстори на разказа,"Пондев,П.",,,11595
3162,Майстори на разказа,"Пондев,П.",,,11597
3163,Дядо Горио,"Балзак,О.",,,11601
3164,Дядо Горио,"Балзак,О.",,,11602
3165,Дядо Горио,"Балзак,О.",,,11603
3166,Дядо Горио,"Балзак,О.",,,11604
3167,Дядо Горио,"Балзак,О.",,,11605
3168,Дядо Горио,"Балзак,О.",,,11606
3169,Дядо Горио,"Балзак,О.",,,11607
3170,Дядо Горио,"Балзак,О.",,,11608
3171,Дядо Горио,"Балзак,О.",,,11609
3172,Евгений Онегин,"Пушкин,А.С.",,,11612
3173,Евгений Онегин,"Пушкин,А.С.",,,11614
3174,Евгений Онегин,"Пушкин,А.С.",,,11616
3175,Евгений Онегин,"Пушкин,А.С.",,,11618
3176,решения,Съдбоносни,,,11619
3177,Бащин край,"Седих,К.",,,11620
3178,Дългият път към истината,"Вълов,Ив.",,,11621
3179,Живите звуци  на ...,"Тарасов,Н.",,,11623
3180,Бетховен,"Синявър,Л.",,,11624
3181,Бетховен,"Синявър,Л.",,,11625
3182,Бетховен,"Синявър,Л.",,,11626
3183,Бетховен,"Синявър,Л.",,,11627
3184,Беседи за теорията на ...,"Кузнецов,Б.",,,11628
3185,Радио Транслационни централи,"Минев,Х.",,,11629
3186,Четири дни,"Гаршин,В.",,,11634
3187,Правила за описване и в големи...,"Троянова,К.",,,11635
3188,Четива по стария свят,,,,11636
3189,Кинокритика,"Моллов,Я.",,,11640
3190,Дъщерята на Калояна,"Попова-Мутафова,Ф.",,,11641
3191,Срещи с големи и малки,"Петров,Здр.",,,11642
3192,До Чикаго и назад,"Константинов,Ал.",,,11644
3193,До Чикаго и назад,"Константинов,Ал.",,,11645
3194,До Чикаго и назад,"Константинов,Ал.",,,11646
3195,До Чикаго и назад,"Константинов,Ал.",,,11647
3196,До Чикаго и назад,"Константинов,Ал.",,,11648
3197,Биоелектричество,"Дечев,Г.",,,11650
3198,Седемнадесет космически зори,"Тишов,Г.",,,11651
3199,Белият зъб,"Лондон,Дж.",,,11654
3200,Отровният шип,"Мандаджиев,А.",,,11658
3201,Предпролет,"Жеромски,С.",,,11660
3202,Кандидат на науките,"Троеполски,Г.",,,11662
3203,Избрани произведения,"Яворов,П.",,,11665
