пореден номер,заглавие,автор,година,том/част,инвентарен номер
11077,Стихотворения,"Вазов,Ив.",,,23138
11078, Връщане към  хоризонта,"Краковски,Вл.",,,23140
11079,Майка,"Горки,М.",,,23141
11080,Как се каляваше...,"Островски,Н.",,,23143
11081,Разгром,"Фадеев,Ал.",,,23144
11082,Избавление. По случай ...,"Вазов,Ив.",,,23145
11083,Стихотворения,"Дебелянов,Д.",,,23147
11084,Роден край,"Вазов,Ив.",,,23148
11085,Какво става  в тишината,"Томан,Н.",,,23150
11086,Машини и трансформатори за ел. заваряване,,,,23151
11087,Лабораторна обработка на фото...,,,,23152
11088,Никола,"Руднева,Л.",,,23153
11089,Дръзкият бунт,"Симов,Б.",,,23154
11090,Самотна лодка се белее,"Катаев,В.",,,23155
11091,Оганят,"Хадзт,Д.",,,23156
11092,Избрани творби,"Славейков,П.",,,23158
11093,Избрани творби,"Славейков,П.",,,23159
11094,Избрани творби,"Смирненски,Хр.",,,23160
11095,Как се каляваше,"Островски,Н.",,,23161
11096,Стихотворения,"Яворов,П.К.",,,23162
11097,Стихотворения,"Яворов,П.К.",,,23163
11098,Втора рота,"Вежинов,П.",,,23164
11099,Нелегалният в автобуса,"Славински,П.",,,23165
11100,Улица зад реката,"Наковски,Ат.",,,23166
11101,За честта на родината,"Вежинов,П.",,,23167
11102,За честта на родината,"Вежинов,П.",,,23174
11103,Страж верният приятел,"Ангелов,С.",,,23175
11104,Старецът и морето,"Хемингуей,Е.",,,23178
11105,Роинзоновците,"Карсак,",,,23179
11106,Митко Палаузов,"Марчевски,М.",,,23180
11107,Герои на Елада,,,,23181
11108,Рудин,"Тургенев,Ив.",,,23182
11109,Непокорените,"Горбатов,Б.",,,23183
11110,Записки на помощник...,"Бабаков,П.",,,23186
11111,В ъгъла,"Робов,Ем",,,23187
11112,Тартюф,Молиер,,,23189
11113,Бащите отплават в океана,,,,23190
11114,Пролет в планината,"Кралевски,Сп.",,,23191
11115,Сълзи и песни,"Конопницка,М.",,,23192
11116,Под  върховете на Кавказ,"Стефанова,Л.",,,23193
11117,Вълчи нощи,"Станев,Ем.",,,23194
11118,Косе Босе,"Босилек,Ран",,,23195
11119,По меридиана,"Михайлов,Н.",,,23196
11120,Походът,"Васев,Сл.",,,23197
11121,Малко е да те обичам,"Стоянов,А.",,,23199
11122,Разкази,"Вазов,Ив.",,,23200
11123,Горски жители,"Угаров,Гр.",,,23202
11124,Избрани произведения,"Вазов,Ив.",,,23204
11125,Разкази,Елин-Пелин,,,23205
11126,   Евгения  Гранде,"Балзак,О",,,23206
11127, Избрани творби,"Вапцаров,Н.",,,23207
11128,Разкази,Елин-Пелин,,,23209
11129,Стихотворения,"Вазов,Ив.",,,23210
11130,Небето над Велека,"Фучеджиев,Д.",,,23212
11131,Избрани творби,"Смирненски,Хр.",,,23213
11132,Вълчи вървища,"Жотев,Д.",,,23214
11133,100  басни,"Радевски,Хр.",,,23216
11134,Дядо  Архип и Льонка,"Горки,М.",,,23217
11135,Избрани творби,"Смирненски,Хр.",,,23219
11136,Избрани творби,"Смирненски,Хр.",,,23220
11137,Художествена проза,"Ботев,Хр.",,,23221
11138,Разкази,Елин-Пелин,,,23222
11139,Тартюф,Молиер,,,23223
11140,Разкази,Елин-Пелин,,,23224
11141, Втора рота,"Вежинов,П.",,,23225
11142,Избрани творби,"Смирненски,Хр.",,,23227
11143,Стихотворение,"Матев,П.",,,23228
11144,Тартюф,Молиер,,,23229
11145,Тартюф,Молиер,,,23130
11146,Тартюф,Молиер,,,23231
11147,Биографичен очерк,"Славейков,П.",,,23235
11148,Кръжочната работа,,,,23241
11149,Антигона,Софокъл,,,23244
11150,Хумор и сатира,"Смирненски,Хр.",,,23245
11151,Антигона,Софокъл,,,23246
11152,"Стихотвориния, поеми","Свейков,П.Р.",,,23247
11153,Избрани пътеписи,"Константинов,Ал.",,,23248
11154,Леденото шосе,,,,23249
11155,История славянобълг.,"Хилендарски,Паисий",,,23251
11156,Стихотворения,"Ханчев,В.",,,23253
11157,Маминото детенце,"Каравелов,Л.",,,23255
11158,Стихотворения,"Славейков,Пенчо",,,23257
11159,Маминото детенце,"Каравелов,Л.",,,23258
11160,Българи от старо време,"Каравелов,Л.",,,23259
11161,Евгений Онегин,"Пушкин,А.С.",,,23260
11162,Синът на полка,"Катаев,В.",,,23261
11163,Хамлет,Шекспир,,,23262
11164,Хамлет,Шекспир,,,23264
11165,В навечерието,"Тургенев,Ив.",,,23265
11166,Гераците,Елин-Пелин,,,23266
11167,Маминото детенце,"Каравелов,Л.",,,23268
11168,Избрани пътеписи,"Константинов,Ал.",,,23269
11169,Стихотворения,"Исаев,Мл.",,,23270
11170,Папай,"Илков,Ив.",,,23271
11171,Филип Диоле Китовете,"Кусто,Жак",,,23273
11172,Събрани съчинения т. 19,"Вазов,Ив.",,,23274
11173,Събрани съчинения т.20,"Вазов,Ив.",,т.20,23275
11174,Събрани съчинения т. 21,"Вазов,Ив.",,,23276
11175,Престоят,"Кант,Х.",,,23277
11176,Обич,"Йовков,Йордан",,,23279
11177,Ученици на слънцето,"Марота,Дж.",,,23280
11178,Кратък френско-бълг. речник,,,,23281
11179,Кратък френско-бълг. речник,,,,23282
11180,Кратък френско-бълг. речник,,,,23283
11181,Кратък френско-бълг. речник,,,,23284
11182,Кратък френско-бълг. речник,,,,23285
11183,Кратък френско-бълг. речник,,,,23287
11184,Кратък френско-бълг. речник,,,,23288
11185,Кратък френско-бълг. речник,,,,23289
11186,Кратък френско-бълг. речник,,,,23290
11187,Избрани творби,"Смирненски,Хр.",,,23291
11188,Избрани творби,"Смирненски,Хр.",,,23292
11189,Избрани творби,"Смирненски,Хр.",,,23293
11190,Избрани творби,"Смирненски,Хр.",,,23294
11191,Избрани творби,"Смирненски,Хр.",,,23295
11192,Избрани творби,"Смирненски,Хр.",,,23296
11193,Избрани творби,"Смирненски,Хр.",,,23297
11194,Избрани творби,"Смирненски,Хр.",,,23298
11195,Избрани творби,"Смирненски,Хр.",,,23299
11196,Избрани творби,"Смирненски,Хр.",,,23300
11197,Избрани творби,"Смирненски,Хр.",,,23301
11198,Избрани творби,"Смирненски,Хр.",,,23302
11199,Избрани творби,"Смирненски,Хр.",,,23303
11200,Избрани творби,"Смирненски,Хр.",,,23304
11201,Избрани творби,"Смирненски,Хр.",,,23305
11202,Избрани творби,"Смирненски,Хр.",,,23306
11203,Избрани творби,"Смирненски,Хр.",,,23307
11204,Избрани творби,"Смирненски,Хр.",,,23308
11205,Избрани творби,"Смирненски,Хр.",,,23309
11206,Избрани творби,"Смирненски,Хр.",,,23310
11207,Избранитворби,"Константинов,Ал.",,,23313
11208,Избранитворби,"Константинов,Ал.",,,23314
11209,Избранитворби,"Константинов,Ал.",,,23315
11210,Избранитворби,"Константинов,Ал.",,,23316
11211,Избранитворби,"Константинов,Ал.",,,23317
11212,Избранитворби,"Константинов,Ал.",,,23318
11213,Избранитворби,"Константинов,Ал.",,,23319
11214,Мъртви души,"Гогол,Н.В.",,,23323
11215,Мъртви души,"Гогол,Н.В.",,,23325
11216,Мъртви души,"Гогол,Н.В.",,,23326
11217,Мъртви души,"Гогол,Н.В.",,,23326 а
11218,Мъртви души,"Гогол,Н.В.",,,23327
11219,Мъртви души,"Гогол,Н.В.",,,23328
11220,Мъртви души,"Гогол,Н.В.",,,23329
11221,Ад,"Алигиери,Д.",,,23330
11222,Ад,"Алигиери,Д.",,,23331
11223,Ад,"Алигиери,Д.",,,23332
11224,Ад,"Алигиери,Д.",,,23333
11225,Ад,"Алигиери,Д.",,,23334
11226,Ад,"Алигиери,Д.",,,23335
11227,Ад,"Алигиери,Д.",,,23336
11228,Ад,"Алигиери,Д.",,,23337
11229,Ад,"Алигиери,Д.",,,23338
11230,Ад,"Алигиери,Д.",,,23339
11231,Евгений Онегин,"Пушкин,А.С.",,,23340
11232,Евгений Онегин,"Пушкин,А.С.",,,23341
11233,Евгений Онегин,"Пушкин,А.С.",,,23342
11234,Евгений Онегин,"Пушкин,А.С.",,,23344
11235,Евгений Онегин,"Пушкин,А.С.",,,23345
11236,Евгений Онегин,"Пушкин,А.С.",,,23346
11237,Евгений Онегин,"Пушкин,А.С.",,,23347
11238,Евгений Онегин,"Пушкин,А.С.",,,23348
11239,Евгений Онегин,"Пушкин,А.С.",,,23349
11240,Евгений Онегин,"Пушкин,А.С.",,,23350
11241,Евгений Онегин,"Пушкин,А.С.",,,23351
11242,Евгений Онегин,"Пушкин,А.С.",,,23353
11243,Евгений Онегин,"Пушкин,А.С.",,,23354
11244,Евгений Онегин,"Пушкин,А.С.",,,23355
11245,Евгений Онегин,"Пушкин,А.С.",,,23357
11246,Евгений Онегин,"Пушкин,А.С.",,,23358
11247,Евгений Онегин,"Пушкин,А.С.",,,23359
11248,Евгений Онегин,"Пушкин,А.С.",,,23360
11249,Евгений Онегин,"Пушкин,А.С.",,,23361
11250,Евгений Онегин,"Пушкин,А.С.",,,23362
11251,Евгений Онегин,"Пушкин,А.С.",,,23364
11252,Евгений Онегин,"Пушкин,А.С.",,,23365
11253,Евгений Онегин,"Пушкин,А.С.",,,23367
11254,Евгений Онегин,"Пушкин,А.С.",,,23368
11255,Старогръцки митове и,"Кун,А.",,,23369
11256,Старогръцки митове и,"Кун,А.",,,23371
11257,Старогръцки митове и,"Кун,А.",,,23372
11258,Черните бунтовници,"Леанте,С.",,,23374
11259,Десет съвр. Фр. Разказвачи,,,,23375
11260,Десет съвр. Фр. Разказвачи,,,,23376
11261,Спускане в Маелстрьом,"По,Едг.",,,23377
11262,Сенна хрема,"Лем,Ст.",,,23378
11263,Слънчев удар,"Бунин,Ив.",,,23379
11264,Обич,"Йовков,Йордан",,,23382
11265,Романтична повест,"Гуляшки,Анд.",,,23383
11266,Разораната целина,"Шолохов,М.",,,23384
11267,В помощ на педагог. Кръжоци,,,,23385
11268,Събрани съчинения,"Тодоров,П.",,,23386
11269,Хитър Петър,"Марковски,Г.",,,23387
11270,Клошмерл,"Шевалие,Габр.",,,23388
11271,Д.Бояджиев,"Сестримски,Ив.",,,23389
11272,Георги Димитров Биогр. Очерк,,,,23390
11273,Елин-Пелин худ. виждане,"Русев,П.",,,23391
11274,Елин-Пелин худ. виждане,"Русев,П.",,,23392
11275,Избрани комедии,"Костов,Ст.",,,23393
11276,Соларис,"Лем,Ст.",,,23395
11277,Георги Кирков. Лит.,"Василев,Дж.",,,23396
11278,Поглед  върху поезията,"Велчев,Петър",,,23397
11279,Поглед  върху поезията,"Велчев,Петър",,,23398
11280,Поглед  върху поезията,"Велчев,Петър",,,23399
11281,Поглед  върху поезията,"Велчев,Петър",,,23400
11282,Поглед  върху поезията,"Велчев,Петър",,,23401
11283,Философски проблеми,"Чолаков,Здр.",,,23402
11284,Философски проблеми,"Чолаков,Здр.",,,23403
11285,Философски проблеми,"Чолаков,Здр.",,,23404
11286,Философски проблеми,"Чолаков,Здр.",,,23405
11287,Философски проблеми,"Чолаков,Здр.",,,23406
11288,Философски проблеми,"Чолаков,Здр.",,,23407
11289,Философски проблеми,"Чолаков,Здр.",,,23408
11290,Избрани творби,"Уайлд,Ос.",,,23410
11291,Клаус Смелите пътешествия,"Вос,Дж.",,,23411
11292,Заливът Малдорме,"Рьомакл,Аднре",,,23412
11293,Двукратни изследвания,"Белинсхаузен,Ф.",,,23413
11294,Крупская,"Кунецкая,Л.",,,23414
11295,Без свидетели,"Пенчева,Станка",,,23415
11296,Струната не се скъса,"Вакарелов,Лука",,,23417
11297,Струната не се скъса,"Вакарелов,Лука",,,23418
11298,Така нареченият ...,"Симонов,Константин",,,23419
11299,Хайдути,"Хайтов,Н.",,,23420
11300,Клаус Смелите пътешествия,"Вос,Дж.",,,23422
11301,Монахинята,"Дидро,Дени",,,23423
11302,Азбука на семейния живот,Асоди,,,23424
11303,Човекът на новото,"Каранешев,Вл.",,,23425
11304,Предречено от  Пагане,"Мутафчиева,Вера",,,23426
11305,Дневник с продължение,"Станева,Н.",,,23427
11306,Най-хубавото,"Геров,Ал.",,,23428
11307,Бълг. разказ между,"Василев,Михаил",,,23429
11308,Неотдавна,"Трънски,Сл.",,,23430
11309,Лирика,"Красински,Сл.",,,23431
11310,Нови пътища,"Караславов,Г.",,,23432
11311,Мечът на Атила,"Бобев,П.",,,23433
11312,Мечът на Атила,"Бобев,П.",,,23434
11313,Двукратни изследвания,"Белинсхаузен,Ф.",,,23435
11314,Машинни елементи,"Николов,Н.",,,23436
11315,Машинни елементи,"Николов,Н.",,,23437
11316,Технология на металите,"Джуджева,В.",,,23439
11317,Основи на техн. Механика,,,,23441
11318,.,,,,23442
11319,Павлишкото средно,"Сухомлински,В.",,,23443
11320, Вицепрезидентът,"Видал,Гор",,,23444
11321,Железният светилник,"Талев,Д.",,,23445
11322,Златна пепел,"Колев,К.",,,23446
11323,Роби за халифата,"Лундквист,А.",,,23447
11324,Крахът на черните джуджета,"Самбук,Р.",,,23448
11325,Наемателите,"Маламъд,Б.",,,23452
11326,Неаполитанска песен,"Тенев,Д.",,,23455
11327,Огън в тъмна нощ,"Намора,Ф.",,,23457
11328,Герой на нашето време,"Лермонтов,М.",,,23458
11329,Герой на нашето време,"Лермонтов,М.",,,23459
11330,Герой на нашето време,"Лермонтов,М.",,,23460
11331,Герой на нашето време,"Лермонтов,М.",,,23461
11332,Герой на нашето време,"Лермонтов,М.",,,23463
11333,Герой на нашето време,"Лермонтов,М.",,,23464
11334,Герой на нашето време,"Лермонтов,М.",,,23465
11335,Герой на нашето време,"Лермонтов,М.",,,23466
11336,Големият каменен дом,"Асенов,Д.",,,23468
11337,Големият каменен дом,"Асенов,Д.",,,23469
11338,Леонардо да Винчи,"Зубов,В.",,,23470
11339,Леонардо да Винчи,"Зубов,В.",,,23471
11340,Господин автомобил,"Ненацки,З.",,,23472
11341,Избр. Произведения т.1,"Делчев,Б.",,т.1,23473
11342,Творби и проблеми.Лит. анализи,,,,23474
11343,Творби и проблеми.Лит. анализи,,,,23475
11344,Творби и проблеми.Лит. анализи,,,,23479
11345,Творби и проблеми.Лит. анализи,,,,23480
11346,Творби и проблеми.Лит. анализи,,,,23482
11347,Творби и проблеми.Лит. анализи,,,,23485
11348,Творби и проблеми.Лит. анализи,,,,23489
11349,Избрани творби,"Ботев,Хр.",,,23493
11350,Избрани творби,"Ботев,Хр.",,,23494
11351,Избрани творби,"Ботев,Хр.",,,23495
11352,Избрани творби,"Ботев,Хр.",,,23496
11353,Избрани творби,"Ботев,Хр.",,,23497
11354,Избрани творби,"Ботев,Хр.",,,23500
11355,Избрани творби,"Ботев,Хр.",,,23501
11356,Избрани творби,"Ботев,Хр.",,,23502
11357,Избрани творби,"Ботев,Хр.",,,23503
11358,Избрани творби,"Ботев,Хр.",,,23504
11359,Избрани творби,"Ботев,Хр.",,,23506
11360,Избрани творби,"Ботев,Хр.",,,23508
11361,Избрани творби,"Ботев,Хр.",,,23510
11362,Избрани творби,"Ботев,Хр.",,,23511
11363,Големанов,"Костов,Ст.",,,23512
11364,Големанов,"Костов,Ст.",,,23513
11365,Големанов,"Костов,Ст.",,,23514
11366,Зелената трева на пустинята,"Фучеджиев,Д.",,,23516
11367,Адрес Лемурия,"Кондратиев,Ал.",,,23517
11368,Под игото,"Вазов,Ив.",,,23518
11369,Под игото,"Вазов,Ив.",,,23519
11370,Под игото,"Вазов,Ив.",,,23520
11371,Под игото,"Вазов,Ив.",,,23521
11372,Под игото,"Вазов,Ив.",,,23522
11373,Под игото,"Вазов,Ив.",,,23523
11374,Под игото,"Вазов,Ив.",,,23524
11375,Под игото,"Вазов,Ив.",,,23525
11376,Под игото,"Вазов,Ив.",,,23526
11377,Под игото,"Вазов,Ив.",,,23527
11378,Под игото,"Вазов,Ив.",,,23528
11379,Под игото,"Вазов,Ив.",,,23529
11380, Ленин поема,"Маяковски,Вл.",,,23530
11381,Терез Ракен,"Зола,Ем.",,,23531
11382,Терез Ракен,"Зола,Ем.",,,23532
11383,Стас и Нели,"Сенкеевич,Х.",,,23533
11384,Стас и Нели,"Сенкеевич,Х.",,,23534
11385,Айвънхоу,"Скот,У.",,,23535
11386,Кариерата на Никод,Доленга-Мостович,,,23536
11387,Йовков и неговият свят,"Султанов,С.",,,23537
11388,Разкази,"Йовков,Йордан",,,23538
11389,Разкази,"Йовков,Йордан",,,23539
11390,Разкази,"Йовков,Йордан",,,23540
11391,Разкази,"Йовков,Йордан",,,23541
11392,Разкази,"Йовков,Йордан",,,23542
11393,Разкази,"Йовков,Йордан",,,23543
11394,Разкази,"Йовков,Йордан",,,23544
11395,Разкази,"Йовков,Йордан",,,23545
11396,Дете на думите,"Мърдок,Айрис",,,23546
11397,Под игото,"Вазов,Ив.",,,23547
11398,Под игото,"Вазов,Ив.",,,23548
11399,Под игото,"Вазов,Ив.",,,23549
11400,Под игото,"Вазов,Ив.",,,23550
11401,Под игото,"Вазов,Ив.",,,23551
11402,Под игото,"Вазов,Ив.",,,23552
11403,Под игото,"Вазов,Ив.",,,23553
11404,Под игото,"Вазов,Ив.",,,23554
11405,Под игото,"Вазов,Ив.",,,23556
11406,Под игото,"Вазов,Ив.",,,23557
11407,Под игото,"Вазов,Ив.",,,23558
11408,Избр. Произведения,"Мантов,Д.",,,23559
11409,Кенкърбърийски разкази,"Чосър,Дж.",,,23560
11410,Цитаделата,"Кронин,Арч.",,,23561
11411,Цитаделата,"Кронин,Арч.",,,23562
11412,Ленин и България,"Велков,А.",,,23563
11413,Слез на земята,"Фокнър,У.",,,23564
11414,Савил,"Стори,Д.",,,23567
11415,Чинарите зашумяха,"Коралите,Ем.",,,23568
11416,Шагренова кожа,"Балзак,О.",,,23569
11417,Шагренова кожа,"Балзак,О.",,,23570
11418,Шагренова кожа,"Балзак,О.",,,23571
11419,Златната роза,"Паустовски,К.",,,23572
11420,Златната роза,"Паустовски,К.",,,23573
11421,Нулево решение,"Фиалковски,К.",,,23577
11422,Железният крал,"Дрюон,Морис",,,23578
11423,Непознати в къщи,"Сименон,Ж.",,,23580
11424,Ямайски марони,"Рид,Майн",,,23581
11425,Двадесет и три стъпала,"Касвинов,М.",,,23582
11426,Битието,"Зарев,Вл.",,,23583
11427,Разкази.Пътеписи,"Вазов,Ив.",,,23584
11428,Американската външно,"Петровски,В.",,,23585
11429,Ямайски марони,"Рид,Майн",,,23586
11430,Савил,"Стори,Д.",,,23588
11431, Страници,"Далчев,Атанас",,,23589
11432, Страници,"Далчев,Атанас",,,23590
11433, Страници,"Далчев,Атанас",,,23591
11434, Страници,"Далчев,Атанас",,,23592
11435, Страници,"Далчев,Атанас",,,23593
11436, Страници,"Далчев,Атанас",,,23594
11437, Страници,"Далчев,Атанас",,,23595
11438, Страници,"Далчев,Атанас",,,23596
11439, Страници,"Далчев,Атанас",,,23597
11440, Страници,"Далчев,Атанас",,,23598
11441,Пълзачи по скали,"Рид,Майн",,,23599
11442,Хамбургският оракул,"Имерманис,Ан.",,,23600
11443,Диви разкази,"Хайнов,Н.",,,23601
11444,Физици. Биограф.,"Храмов,Ю.",,,23602
11445,Избр.Избр.  произведения т.2,"Делчев,Б.",,т.2,23603
11446,Чинарите зашумяха,"Коралов,Ем.",,,23604
11447,градини,Висящи,,,23605
11448,Избр. Произведения т.1,"Делчев,Б.",,т.1,23606
11449,Театрален роман,"Булгаков,М.",,,23609
11450,Жозеф Фуше,"Цвайг,Ст.",,,23610
11451,Убийство на игрището...,"Кристи,Аг.",,,23611
11452,Слав  Солунските братя,"Караславов,",,,23613
11453,Славяни и прабългари,"Въжарова,Живка",,,23614
11454,Тях,"Оутс,Дж.",,,23615
11455,Крадецът на праскови,"Станев,Ем.",,,23616
11456,Големанов,"Костов,Ст.",,,23617
11457,Големанов,"Костов,Ст.",,,23618
11458,Големанов,"Костов,Ст.",,,23619
11459,Големанов,"Костов,Ст.",,,23620
11460,Големанов,"Костов,Ст.",,,23621
11461,Големанов,"Костов,Ст.",,,23622
11462,Големанов,"Костов,Ст.",,,23623
11463,Големанов,"Костов,Ст.",,,23624
11464,Големанов,"Костов,Ст.",,,23625
11465,Големанов,"Костов,Ст.",,,23626
11466,Големанов,"Костов,Ст.",,,23627
11467,Големанов,"Костов,Ст.",,,23628
11468,Големанов,"Костов,Ст.",,,23630
11469,Големанов,"Костов,Ст.",,,23632
11470,Големанов,"Костов,Ст.",,,23633
11471,Големанов,"Костов,Ст.",,,23634
11472,Големанов,"Костов,Ст.",,,23635
11473,Големанов,"Костов,Ст.",,,23636
11474,Избрани творби,"Смирненски,Хр.",,,23638
11475,Избрани творби,"Смирненски,Хр.",,,23639
11476,Избрани творби,"Смирненски,Хр.",,,23640
11477,Избрани творби,"Смирненски,Хр.",,,23641
11478,Избрани творби,"Смирненски,Хр.",,,23642
11479,Избрани творби,"Смирненски,Хр.",,,23643
11480,Избрани творби,"Смирненски,Хр.",,,23644
11481,Избрани творби,"Смирненски,Хр.",,,23645
11482,Избрани творби,"Смирненски,Хр.",,,23646
11483,Избрани творби,"Смирненски,Хр.",,,23647
11484,Избрани творби,"Смирненски,Хр.",,,23648
11485,Избрани творби,"Смирненски,Хр.",,,23649
11486,Избрани творби,"Смирненски,Хр.",,,23650
11487,Избрани творби,"Смирненски,Хр.",,,23651
11488,Избрани творби,"Смирненски,Хр.",,,23652
11489,Избрани творби,"Смирненски,Хр.",,,23653
11490,Избрани творби,"Смирненски,Хр.",,,23654
11491,Избрани творби,"Смирненски,Хр.",,,23655
11492,Избрани творби,"Смирненски,Хр.",,,23656
11493,Българска възрожденска поезия,,,,23657
11494,"Славчо Трънски,Фр.Томпсън","Порова,Ст.",,,23658
11495,Творци на.. т.1,"Сестримски,Ив.",,т.1,23660
11496,Фар 80,,,,23661
11497,М часа на есенната,"Методиев,Д.",,,23663
11498,Еразъм Ротердамски,"Цвайг,Ст.",,,23664
11499,Слав  Солунските братя,"Караславов,",,,23665
11500,За свободата,"Дичев,Ст.",,,23666
11501, Хроника за Уапшатови,"Чийвър,Дж.",,,23667
11502,Спомени за коне,"Радичков,Йордан",,,23668
11503,На-добрият гражданин...,"Петров,Ив.",,,23669
11504,Хамбургският оракул,"Имерманис,Ан.",,,23670
11505,Соларис,"Лем,Ст.",,,23673
11506, Ад,"Алигиери,Данте",,,23674
11507, Ад,"Алигиери,Данте",,,23675
11508, Ад,"Алигиери,Данте",,,23676
11509, Ад,"Алигиери,Данте",,,23677
11510, Ад,"Алигиери,Данте",,,23678
11511, Ад,"Алигиери,Данте",,,23679
11512, Ад,"Алигиери,Данте",,,23680
11513, Ад,"Алигиери,Данте",,,23681
11514, Ад,"Алигиери,Данте",,,23682
11515,Избрани творби,"Славейков,Пенчо",,,23685
11516,Избрани творби,"Славейков,Пенчо",,,23686
11517,Избрани творби,"Славейков,Пенчо",,,23687
11518,Избрани творби,"Славейков,Пенчо",,,23689
11519,Избрани творби,"Славейков,Пенчо",,,23690
11520,Избрани творби,"Славейков,Пенчо",,,23691
11521,Избрани творби,"Славейков,Пенчо",,,23692
11522,Избрани творби,"Славейков,Пенчо",,,23693
11523,Избрани творби,"Славейков,Пенчо",,,23694
11524,Избрани творби,"Славейков,Пенчо",,,23695
11525,Избрани творби,"Славейков,Пенчо",,,23696
11526,Избрани творби,"Славейков,Пенчо",,,23697
11527,Избрани творби,"Славейков,Пенчо",,,23699
11528,Избрани творби,"Славейков,Пенчо",,,23701
11529,Избрани творби,"Славейков,Пенчо",,,23702
11530,Най-прозрачната...,"Фуентес,Карлос",,,23712
11531,Антихрист,"Станев,Ем.",,,23713
11532,Така нареченият личен ,"Симонов,К.",,,23714
11533,Под игото,"Вазов,Ив.",,,23715
11534,Спомени за коне,"Радичков,Йордан",,,23716
11535,Спр. По настройки на авт. Устройства,,,,23718
11536,Когато човекът не беше,"Ангелов,Д.",,,23719
11537,Съдбовни мъченици,"Марковски,Венко",,,23722
11538,Избрани творби,"Хайне,Хайнрих",,,23723
11539,Животът на Леонаро да Винчи,"Вазари,Дж.",,,23724
11540,Стойков Автобиогр. Трудове,"Раковски,Георги",,,23725
11541,"С  "" Камчатка ""","Головнин,В.М.",,,23726
11542,Трите пътя към езерото,"Бахман,Ингеборг",,,23728
11543,Избрани творби,"Каравелов,Любен",,,23729
11544,Избрани творби,"Каравелов,Любен",,,23730
11545,Избрани творби,"Каравелов,Любен",,,23731
11546,Избрани творби,"Каравелов,Любен",,,23732
11547,Избрани творби,"Каравелов,Любен",,,23733
11548,Избрани творби,"Каравелов,Любен",,,23734
11549,Избрани творби,"Каравелов,Любен",,,23735
11550,Избрани творби,"Каравелов,Любен",,,23737
11551,Избрани творби,"Каравелов,Любен",,,23738
11552,Избрани творби,"Каравелов,Любен",,,23739
11553,Избрани творби,"Каравелов,Любен",,,23740
11554,Избрани творби,"Константинов,Алеко",,,23741
11555,Избрани творби,"Константинов,Алеко",,,23742
11556,Избрани творби,"Константинов,Алеко",,,23743
11557,Избрани творби,"Константинов,Алеко",,,23744
11558,Избрани творби,"Константинов,Алеко",,,23745
11559,Избрани творби,"Константинов,Алеко",,,23747
11560,Избрани творби,"Константинов,Алеко",,,23749
11561,Избрани творби,"Константинов,Алеко",,,23750
11562,Стихотворения,"Вазов,Ив.",,,23752
11563,Стихотворения,"Вазов,Ив.",,,23753
11564,Стихотворения,"Вазов,Ив.",,,23754
11565,Стихотворения,"Вазов,Ив.",,,23755
11566,Стихотворения,"Вазов,Ив.",,,23758
11567,Стихотворения,"Вазов,Ив.",,,23759
11568,Стихотворения,"Вазов,Ив.",,,23760
11569,Затворникът,"Вонегът,Кърт",,,23761
11570,"Десет дни, които разтърсиха света","Рид,Дж.",,,23763
11571,Последните залпове,"Бондарев,Юр.",,,23764
11572,Висшето общество,"Сологуб,Вл.",,,23766
11573,Избрани творби,"Константинов,Алеко",,,23767
11574,Жан Кристоф,"Ролан,Ромен",,,23768
11575,Из моя живот,"Колонтай,Александра",,,23769
11576,Чифлик в степта,"Катаев,В.",,,23770
11577,За честта на родината,"Велинов,П.",,,23771
11578, Татарската пустиня,"Будзати,Дино",,,23772
11579,Атланти и ,"Шамякин,Ив.",,,23774
11580,Апостолът на свободата,"Макдерморт,М.",,,23775
11581,Разкази.Пътеписи,"Вазов,Ив.",,,23777
11582, Ад,"Алигиери,Данте",,,23778
11583,Нощен дъжд Съвр. Англ. поезия,,,,23779
11584,Легенда за св.София,"Загорчинов,Ст.",,,23780
11585,Съветска фантастика,"Пенчева,Ст.",,,23781
11586,Под покрива на света,"Милев,Йордан",,,23782
11587,Песента на гората,"Райчев,Георги",,,23783
11588,Пред прага на младостта,"Махари,Г.",,,23784
11589,Есенен бал,"Унт,Мати",,,23787
11590,Избрани творби,"Франко,Ив.",,,23788
11591,Френски писатели,"Мороа,Андре",,,23789
11592,Делфините,"Кусто,Жак",,,23790
11593,разкази 1974,Съветски,,,23791
11594,Сборник документи,"Златев,С.",,,23793
11595,Сборник документи,"Златев,С.",,,23794
11596,Философ Лит. методичен,Константин-Кирил,,,23795
11597,Соларис,"Лем,Ст.",,,23796
11598,Соларис,"Лем,Ст.",,,23798
11599,Стихотворения,"Пенев,Пеньо",,,23800
11600,Стихотворения,"Пенев,Пеньо",,,23801
11601,Стихотворения,"Пенев,Пеньо",,,23802
11602,Арфата и  сянката,"Карпентиер,Ал.",,,23803
11603,багри,"Федоренко,Н.Созополси",,,23804
11604,Избрани творби,Ламар,,,23805
11605,Яков и дяволът,"Гуляшки,Андр",,,23806
11606,Яков и дяволът,"Гуляшки,Андр",,,23807
11607,Яков и дяволът,"Гуляшки,Андр",,,23808
11608,Яков и дяволът,"Гуляшки,Андр",,,23809
11609,Трагедия в три...,"Кристи,Аг.",,,23810
11610,Избрани творби,"Хайне,Хайнрих",,,23811
11611,"В отряда, в","Андреев,В.",,,23812
